PANI|-159.557772|61.585847
HI01|-159.44957381|22.20619299
HI33|-159.443691|21.944106
HI46|-159.430177|21.965057
HI03|-159.393705|22.042188
PLFA|-159.38760788|3.89921561
PHLI|-159.3421724|21.98271347
QANA|-159.301361|22.163485
PACH|-159.23601403|61.58292157
PAPE|-159.162686|55.905594
PAMB|-159.052956|58.986819
NCMN|-158.959244|-19.263294
AK79|-158.78218932|56.25564796
PAKV|-158.755056|64.313361
PAPH|-158.634236|56.956883
5A8|-158.61863761|59.28535751
Z35|-158.59966832|59.27986544
KCG|-158.59438079|56.31667723
KKU|-158.56043153|58.80976721
PFCL|-158.55202033|58.84292393
KCL|-158.5389121|56.3097234
PADL|-158.513092|59.036836
5QN|-158.47479235|58.87108255
PAJC|-158.37802601|56.30867323
PHDH|-158.2087576|21.57871073
FVQ|-158.20583579|62.07177971
CJX|-158.13437789|61.86781147
NCAT|-158.12540178|-19.96724412
PANU|-158.082783|64.725247
PHJR|-158.07050845|21.31053751
NCPY|-158.03635703|-9.00609059
PHHI|-158.03351586|21.47671805
FLT|-158.00106067|62.45274568
QPHB|-157.970016|21.310316
NPS|-157.96172565|21.36053065
PHNL|-157.91603|21.317454
NCMG|-157.90816929|-21.89432187
PAFM|-157.851247|67.108686
PHNG|-157.77101822|21.44540056
UGB|-157.74851107|57.43090534
PFKU|-157.72543265|64.87657015
PAOC|-157.71889919|58.90738563
XBEL|-157.71507812|21.35795649
NCMR|-157.71009903|-19.84140587
PAPN|-157.580314|57.580381
KEK|-157.47921051|59.35117903
PATQ|-157.45336927|70.46618436
9A8|-157.40685267|57.52715303
AK64|-157.39382335|60.87029089
PAII|-157.385686|58.191303
RDV|-157.3607996|61.78997795
AK96|-157.35797758|58.21867536
PLCH|-157.35531872|1.98370454
NCMK|-157.34472949|-20.13732187
QXMS|-157.337601|1.980933
PANW|-157.328928|59.452319
PAJZ|-157.267289|59.727764
HI49|-157.25930188|21.14862144
PAGH|-157.174844|66.890522
PASL|-157.15862141|61.71333137
Z61|-157.15462387|62.59802952
AK60|-157.10876131|57.88398038
PHMK|-157.09318976|21.15541383
76Z|-157.04901154|58.92707307
5NK|-157.02497777|58.73339085
PFWS|-157.01190647|58.70578098
5KO|-157.00953124|58.8713854
4AK9|-157.00706355|58.7366009
8AK0|-156.99449096|58.71282119
PHLU|-156.97489917|21.20948496
PAGA|-156.960092|64.735942
PHNY|-156.94967577|20.79035273
AK35|-156.94037386|58.72833583
9Z7|-156.93318474|58.96356657
DCK|-156.92098397|66.94481277
